human_rights_un_hun_dii_64kb_0001	ɒz ɛmbɛri jogok ɛɟɛtɛmɛʃ ɲilɒtkozɒtɒ
human_rights_un_hun_dii_64kb_0002	bɛvɛzɛtøː
human_rights_un_hun_dii_64kb_0003	tɛkintɛtɛl ɒrɒ hoɟ ɒz ɛmbɛriʃeːg tʃɒlaːdjɒ mindɛn ɛɟɛʃ tɒgjɒ meːltoːʃaːgaːnɒk vɒlɒmintɛɟɛnløː eːʃ ɛlidɛgɛniːthɛtɛtlɛn jogɒinɒk ɛliʃmɛreːʃɛ ɒlkotjɒ ɒ sɒbɒdʃaːg ɒz igɒʒaːg eːʃ ɒbeːkɛ ɒlɒpjaːt ɒ vilaːgon
human_rights_un_hun_dii_64kb_0004	tɛkintɛtɛl ɒrɒ hoɟ ɒz ɛmbɛri jogok ɛl nɛm iʃmɛreːʃɛ eːʃ ʃɛmibɛvɛveːʃɛ ɒz ɛmbɛriʃeːglɛlkiiʃmɛrɛteːt fɛlaːziːtoː bɒrbaːr tʃɛlɛkmeːɲɛkhɛz vɛzɛtɛt eːʃ hoɟ ɒz ɛmbɛr lɛgføːb vaːɟɒɛɟ ojɒn vilaːg ɛljøvɛtɛlɛ ɒmɛjbɛn ɒz ɛlɲomaːʃtoːl vɒlɒmint ɒ ɲomortoːl mɛgsɒbɒdultɛmbɛri leːɲɛk sɒvɒ eːʃ mɛgɟøːzøːdeːʃɛ sɒbɒd lɛs
human_rights_un_hun_dii_64kb_0005	tɛkintɛtɛl ɒnɒk fontoʃaːgaːrɒ hoɟ ɒz ɛmbɛri jogokɒt ɒ jog urɒlmɒ veːdɛlmɛzzɛ nɛhoɟɒz ɛmbɛr veːgʃøː sykʃeːgeːbɛn ɒ ʒɒrnokʃaːg eːʃ ɒz ɛlɲomaːʃ ɛlɛni laːzɒdaːʃrɒ keːɲsɛryljøn
human_rights_un_hun_dii_64kb_0006	tɛkintɛtɛl ɒrɒ hoɟ igɛn leːɲɛgɛʃ ɒ nɛmzɛtɛk køzøti bɒraːti kɒptʃolɒtok kifɛjɛzøːdeːʃeːnɛkɛløːmozdiːtaːʃɒ
human_rights_un_hun_dii_64kb_0007	tɛkintɛtɛl ɒrɒ hoɟ ɒz ɒlɒpokmaːɲbɒn ɒz ɛɟɛʃylt nɛmzɛtɛk neːpɛi uːjboːl hitɛt tɛtɛk ɒzɒlɒpvɛtøː ɛmbɛri jogok ɒz ɛmbɛri sɛmeːjiʃeːg meːltoːʃaːgɒ eːʃ eːrteːkɛ ɒ feːrfiɒk eːʃ nøːkɛɟɛnjoguːʃaːgɒ mɛlɛt vɒlɒmint kiɲilvaːniːtotaːk ɒzt ɒz ɛlhɒtaːrozaːʃukɒt hoɟ ɛløːʃɛgiːtik ɒsotsiaːliʃ hɒlɒdaːʃt eːʃ nɒɟob sɒbɒdʃaːg mɛlɛt job eːlɛtfɛlteːtɛlɛkɛt vɒloːʃiːtɒnɒk mɛg
human_rights_un_hun_dii_64kb_0008	tɛkintɛtɛl ɒrɒ hoɟ ɒ tɒgaːlɒmok køtɛlɛzteːk mɒgukɒt ɒrɒ hoɟ ɒz ɛɟɛʃylt nɛmzɛtɛk
human_rights_un_hun_dii_64kb_0009	sɛrvɛzɛteːvɛl ɛɟytmukødvɛ biztoʃiːtjaːk ɒz ɛmbɛri jogok eːʃ ɒlɒpvɛtøː sɒbɒdʃaːgokaːltɒlaːnoʃ eːʃ teːɲlɛgɛʃ tistɛlɛtbɛntɒrtaːʃaːt
human_rights_un_hun_dii_64kb_0010	tɛkintɛtɛl ɒrɒ hoɟ ɒ jogok eːʃ sɒbɒdʃaːgok mibɛnleːtɛ tɛkintɛteːbɛn køzøʃ fɛlfogaːʃkiɒlɒkiːtaːʃaːnɒk ɒ lɛgnɒɟob jɛlɛntøːʃeːgɛ vɒn ɒz ɛmliːtɛt køtɛlɛzɛtʃeːg mɒrɒdeːktɒlɒntɛljɛʃiːteːʃeːnɛk sɛmpontjaːboːlɒ køzɟuleːʃ kiɲilvaːniːtjɒ ɒz ɛmbɛri jogok ɛɟɛtɛmlɛgɛʃ ɲilɒtkozɒtaːtmint ɒzt ɒ køzøʃ ɛsmeːɲt ɒmɛjnɛk ɛleːreːʃeːrɛ mindɛn neːpnɛk eːʃmindɛn nɛmzɛtnɛk tørɛkɛdniɛ kɛl ɒboːl ɒ tseːlboːl hoɟ mindɛn sɛmeːjeːʃ ɒ taːrʃɒdɒlom mindɛn sɛrvɛ aːlɒndoːɒn sɛm ɛløːt tɒrtvɒ ɒ jɛlɛn
human_rights_un_hun_dii_64kb_0011	ɲilɒtkozɒtot oktɒtaːʃ eːʃ nɛvɛleːʃ uːtjaːn ɛløːmozdiːtʃɒ ɛ jogok eːʃsɒbɒdʃaːgok tistɛlɛtbɛntɒrtaːʃaːnɒk kifɛjlɛsteːʃeːt vɒlɒmint ɒzoknɒkfokozɒtoʃɒn mɛgvɒloːʃuloː hɒzɒi eːʃ nɛmzɛtkøzi jogsɒbaːjok uːtjaːn tørteːnøːaːltɒlaːnoʃ eːʃ teːɲlɛgɛʃ ɒlkɒlmɒzaːʃaːt eːʃ ɛliʃmɛreːʃeːt mind ɒ tɒgaːlɒmokneːpɛi køzøt mind pɛdig ɒ joghɒtoːʃaːguk ɒlɒt aːloː tɛrylɛtɛk neːpɛi køzøt
