ace_0001	PEUNYATA UMUM HAK-HAK AZASI MANUSIA BAN SIGOM DÔNJA 
ace_0002	MUKADDIMAH
ace_0003	Bahwasadjih, pengakuan ateuëh martabat alami manusia dan hak-hak njang sama-rata danmutlak njang han keumah tapeumeungklèh nibak bandum ummat manusia nakeuh ateuëhdasar keumeurdèhkaan, keu’adélan dan keudamaian dalam dônja.
ace_0004	Bahwasadjih, buët hana padôli dan buët peu-hina keu hak azasi manusia njan ka mengakibatkeu buët-buët dhalém dan biadab njang peuteupèh haté ummat manusia;
ace_0005	hingga ummatmanusia meuhadjat keu saboh dônja njang disinan manusia djeuët geu nikmatikeumeurdéhkaan bak geumarit dan bak geumeu-agama dan bibeuëh nibak rasa teumakôt danrasa kureuëng.
ace_0006	Hai njoë ka geupeunjata sibagoë tjita-tjita njang paléng manjang nibak bandumummat manusia.
ace_0007	Bahwasadjih, hak-hak azasi manusia peureulèë teupeulindông deungon na peratôran Hukôm,supaja manusia hana geupiléh pemberontakan sibagoë djalan keuneuleuëh njang terpaksauntuk geupeuglaih droëgeuh nibak keudhaléman dan penindasan.
ace_0008	Bahwasadjih, nakeuh that peunténg bak teupeumadju hubôngan meusahabat antara Neugara-
ace_0009	Neugara.
ace_0010	Bahwasadjih, rakjat nibak Persjarikatan Bangsa-Bangsa(PBB), dalam Piagamgeuh ka sigotreuk geupeudjeulaih kejakinan gobnjan keu dasar-dasar Hak Azasi Manusia;
ace_0011	ateuëh martabatdan jum sidroë-droë ureuëng, dan ateuëh hak-hak njang saban nibak ureuëng inong ngonureuëng agam;
ace_0012	dan ka geumeu’iktikeuët untuk peumadju taraf hudép dan kemadjuan sosiaidalam suasana keumeurdèhkaan njang leubèh luwaih.
ace_0013	Bahwasadjih, Neugara-neugara Angèëta Persjarikatan Bangsa-bangsa(PBB) kageumeudjandji keudroëgeuh, geukeuridja sama deungon PBB, untuk peumadju rasa hôreumatnjang universal keu Hak-Hak azasi manusia dan azasi Keumeurdéhkaan.
ace_0014	Bahwasadjih, kesefahaman dan kesepakatan nibak Hak-Hak dan keumeurdéhkaan-keumeurdèhkaan njan nakeuh that-that peunténg untuk djeuët ta peulaksana ikrar diateuëhnjan keubit-keubit maka deungon njoë,
ace_0015	Madjeulih Umum PBB, meupeunjata:
ace_0016	PEUNJATA UMUM HAK-HAK AZASI MANUSIA sibagoë saboh ukôran bersama nibakhasé kesepakatan njang ka geupeugot lé ummat manusia, geutudjukan keu bandum bangsadan nanggroë, supaja bandum ureuëng dan tiëp badan dalam masjarakat, sabé geu-ingat keu
ace_0017	Peunjata njoë;
ace_0018	geu-ôseuha untuk geupeureunoë dan geupeu-phôm sikap peu-jum danhôreumat keu Hak-Hak azasi dan keumeurdéhkaan njoë, seutjara meutingkat-tingkat didalamnanggroë dan internasional mangat djeuët teudjamin pengakuan dan peng-iktirafan njan,teupeumadju dan tapeumeusjeuhu.
ace_0019	Peukara Nr.
ace_0020	1:
ace_0021	Bandum ureuëng lahé deungon meurdéhka, dan deungon martabat dan hak njang saban.
ace_0022	Ngonakai geuseumiké, ngon haté geumeurasa, bandum geutanjoë lagèë sjèëdara.
ace_0023	Hak dankeumuliaan.
ace_0024	Peukara Nr.
ace_0025	2:
ace_0026	Tiëp ureuëng na hak dan meurdèhka ateuëh bandum hak-hak njang meuseubut didalam
ace_0027	Peunjata njoë deungon hana keutjuali biëk djih, agam dan inong, basa, ugama, politék atawapeundapat njang mubida, bangsa atawa asai usui bangsa, hak milék, pat asai lahé atawa statusnjang laén.
ace_0028	Disampéng nibak njan, ureuëng handjeuët geupeubida ateuëh neuduëk politék,hukôm, atawa neuduëk internasional nibak nanggroë atawa pat asai gobnjan geuteuka;
ace_0029	Meunantjit bôh geuteuka nibak nanggroë njang meurdéhka atawa wilajah Wali, atawa wilajahkon peumeurintah keudroë, atawa dimijub bataih keudaulatan gob.
ace_0030	Peukara Nr.
ace_0031	3:
ace_0032	Tiëp-tiëp ureuëng na hak geu hudép, na hak keu meurdéhka dan na hak keu keuseulamatandroë.
ace_0033	Peukara Nr.
ace_0034	4:
ace_0035	Hana meusidroë ureuëng pih djeuët ta peulamiët atawa tapeudjeuët keu hamba sahaja;
ace_0036	Perbudakan dan publoë lamiët geu-peuhareuëm dalam bentuk sibeurangkapeuë.
ace_0037	Peukara Nr.
ace_0038	5:
