jpn_0001	『世界人権宣言』
jpn_0002	（1948.
jpn_0003	12.
jpn_0004	10 第３回国連総会採択）
jpn_0005	〈前文〉
jpn_0006	人類社会のすべての構成員の固有の尊厳と平等で譲ることのできない権利とを承
jpn_0007	認することは、世界における自由、正義及び平和の基礎であるので、
jpn_0008	人権の無視及び軽侮が、人類の良心を踏みにじった野蛮行為をもたらし、言論及
jpn_0009	び信仰の自由が受けられ、恐怖及び欠乏のない世界の到来が、一般の人々の最高
jpn_0010	の願望として宣言されたので、
jpn_0011	人間が専制と圧迫とに対する最後の手段として反逆に訴えることがないようにす
jpn_0012	るためには、法の支配によって人権を保護することが肝要であるので、
jpn_0013	諸国間の友好関係の発展を促進することが肝要であるので、
jpn_0014	国際連合の諸国民は、国連憲章において、基本的人権、人間の尊厳及び価値並び
jpn_0015	に男女の同権についての信念を再確認し、かつ、一層大きな自由のうちで社会的
jpn_0016	進歩と生活水準の向上とを促進することを決意したので、
jpn_0017	加盟国は、国際連合と協力して、人権及び基本的自由の普遍的な尊重及び遵守の
jpn_0018	促進を達成することを誓約したので、
jpn_0019	これらの権利及び自由に対する共通の理解は、この誓約を完全にするためにもっ
jpn_0020	とも重要であるので、
jpn_0021	よって、ここに、国連総会は、
jpn_0022	社会の各個人及び各機関が、この世界人権宣言を常に念頭に置きながら、加盟国
jpn_0023	自身の人民の間にも、また、加盟国の管轄下にある地域の人民の間にも、これら
jpn_0024	の権利と自由との尊重を指導及び教育によって促進すること並びにそれらの普遍
jpn_0025	的措置によって確保することに努力するように、すべての人民とすべての国とが
jpn_0026	達成すべき共通の基準として、この人権宣言を公布する。
jpn_0027	第１条
jpn_0028	すべての人間は、生まれながらにして自由であり、かつ、尊厳と権利と
jpn_0029	について平等である。
jpn_0030	人間は、理性と良心とを授けられており、互いに同
jpn_0031	胞の精神をもって行動しなければならない。
jpn_0032	第２条
jpn_0033	すべて人は、人種、皮膚の色、性、言語、宗教、政治上その他の意見、
jpn_0034	国民的もしくは社会的出身、財産、門地その他の地位又はこれに類するい
jpn_0035	かなる自由による差別をも受けることなく、この宣言に掲げるすべての権
jpn_0036	利と自由とを享有することができる。
jpn_0037	さらに、個人の属する国又は地域が独立国であると、信託統治地域で
