human_rights_un_sun_brc_64kb_0001	PERNYATAAN UMUM NGEUNAAN HAK-HAK ASASI MANUSA
human_rights_un_sun_brc_64kb_0002	Sakabeh manusa, gubragna ka alam dunya teh bari nampa hak-hak anu saruajeung mutlak, kalawan dibarung ku ayana kabebasan anu fundamental.
human_rights_un_sun_brc_64kb_0003	Perserikatan Bangsa-Bangsa boga komitmen pikeun nanjeurkeun jeungnangtayungan hak-hak asasi manusa sakumna.
human_rights_un_sun_brc_64kb_0004	Ieu komitmen teh awalna lahir dina Piagem Perserikatan Bangsa-Bangsa anungeceskeun kayakinan sakumna bangsa di ieu dunya kana ayana hak-hak asasimanusa anu fundamental dina martabat katut ajen kamanusaan.
human_rights_un_sun_brc_64kb_0005	Dina Pernyataan Umum ngeunaan Hak-Hak Asasi Manusa, Perserikatan
human_rights_un_sun_brc_64kb_0006	Bangsa-Bangsa nerangkeun kalawan eces ngeunaan hak-hak anu geus jadimilikna saban jalma sacara adil.
human_rights_un_sun_brc_64kb_0007	Eta hak-hak teh saestuna pisan boganasaderek.
human_rights_un_sun_brc_64kb_0008	Eta hak - hak teh saestuna pisan mangrupa hak saderek.
human_rights_un_sun_brc_64kb_0009	Atuh ku kituna, saderek kedah wanoh kana hak-hak saderek teh.
human_rights_un_sun_brc_64kb_0010	Heg jalankeuneta hak-hak teh boh keur diri urang pribadi boh pikeun sasama.
human_rights_un_sun_brc_64kb_0011	PERNYATAAN UMUM NGEUNAAN HAK - HAK ASASI MANUSA
human_rights_un_sun_brc_64kb_0012	Mukadimah
human_rights_un_sun_brc_64kb_0013	Dumasar ku ayana timbangan yen pangakuan kana ayana martabat alamiahkatut hak-hak anu sarua ti sakumna anggota kulawarga manusa nu dasarnakamerdikaan, kaadilan jeung perdamaian di dunya.
human_rights_un_sun_brc_64kb_0014	Ku ayana timbangan yen ngalelewodehkeun katut nganggap enteng kana hak-hak manusa teh geus nyiptakeun polah - polah bengis anu nimbulkeunkaceuceub kana nurani manusa tur ngawangun hiji dunya tempat manusangasaan nikmatna kabebasan nyarita jeung ngagem agama sarta bebas tinakasieun jeung katuna, geus ditembrakkeun salaku cita-cita luhung ti rahayatbiasa.
human_rights_un_sun_brc_64kb_0015	Ku ayana timbangan yen hak-hak manusa teh perlu ditangtayungan ku aturanhukum sangkan ulah milih cara anu kapaksa dina ngalawan nu lalim jeung anuresep ngajajah.
human_rights_un_sun_brc_64kb_0016	Ku ayana timbangan yen dina ngabina hubungan duduluran di antara nagara-nagara perlu dironjatkeun.
human_rights_un_sun_brc_64kb_0017	Ku ayana timbangan yen bangsa-bangsa ti Perserikatan Bangsa-Bangsa dina
human_rights_un_sun_brc_64kb_0018	Piagem Perserikatan Bangsa-Bangsa geus ngeceskeun deui ayana kapercayaankana hak-hak dasar manusa katut hak-hak anu sajajar boh keur lalaki boh keurawewe, jeung geus mutuskeun rek ngarojong kamajuan sosial jeung taraf hirupanu leuwih hade dina kamerdikaan nu leuwih jembar.
human_rights_un_sun_brc_64kb_0019	Ku ayana timbangan yen nagara-nagara anggota geus guyub pikeun ngahontalkamajuan nu mangrupa pangajen jeung rasa hormat sacara umum kana hak-hakasasi manusa sarta kana kabebasan - kabebasan anu asasi, ku jalangawebabarengan jeung Perserikatan Bangsa-Bangsa.
human_rights_un_sun_brc_64kb_0020	Ku ayana timbangan yen janji ayana paham anu sarua ngeunaan hak-hak jeungkabebasan-kabebasan teh kacida pentingna pikeun dilaksanakeun kalawandaria, atuh ku kituna.
human_rights_un_sun_brc_64kb_0021	MAJELIS UMUMku jalan ieu ngaproklamasikeun
human_rights_un_sun_brc_64kb_0022	PERNYATAAN UMUM NGEUNAAN HAK - HAK ASASI MANUSA
human_rights_un_sun_brc_64kb_0023	Salaku standar umum hiji-hijina pikeun ngahasilkeun sakumna bangsa katutsakumna nagara, kalawan tujuanana malar saban jalma jeung saban badan-badan masarakat, mun inget kana ieu pernyataan rek satekah polah merepangaweruh malar bisa ngajenan kana hak-hak jeung kabebasan ku tindakan-tindakan anu progresif boh sacara nasional boh sacara internasional sifatna,ngajamin ayana pangakuan jeung pangajen anu universal jeung efektif, tisakumna bangsa nagara anggota sorangan, boh ti bangsa-bangsa anu aya diwilayah kawasan hukum luar ti eta.
human_rights_un_sun_brc_64kb_0024	PASAL 1
human_rights_un_sun_brc_64kb_0025	Sakumna jalma gubrag ka alam dunya teh sifatna merdika jeung boga martabatkatut hak-hak anu sarua.
human_rights_un_sun_brc_64kb_0026	Maranehna dibere akal jeung hate nurani, campur-gauljeung sasamana aya dina sumanget duduluran.
human_rights_un_sun_brc_64kb_0027	PASAL 2
human_rights_un_sun_brc_64kb_0028	Saban jalma boga hak kana sakumna hak jeung kabebasan anu dicatetkeundina ieu pernyataan bari teu diiwalkeun, saperti perbedaan ras, warna kulit, jeniskelamin, basa, agama, pulitik atawa pandangan sejen, asal usul kabangsaanatawa kamasarakatan, hak milik, kalahiran atawa kadudukan sejen.
human_rights_un_sun_brc_64kb_0029	Saterusna, moal dibeda-bedakeun ngeunaan kadudukan pulitik, hukum, atawakadudukan internasional ti nagara atawa daerah mana-manana, naha eta jalmateh datang ti nagara nu geus merdika, atawa ti nagara anu bentukna wilayah-wilayah perwalian, jajahan atawa anu aya dina handapeun kadaulatan nagarasejen.
human_rights_un_sun_brc_64kb_0030	PASAL 3
human_rights_un_sun_brc_64kb_0031	Sakumna jalma, saha bae, boga hak kana kahirupanana, kabebasanana sartakasalamatenana.
human_rights_un_sun_brc_64kb_0032	PASAL 4
human_rights_un_sun_brc_64kb_0033	Sing saha bae, teu meunang diperbudak atawa dibujangkeun;
human_rights_un_sun_brc_64kb_0034	perbudakan atawaperdagangan budak nu kumaha bae rupana kudu dihulag.
human_rights_un_sun_brc_64kb_0035	PASAL 5
human_rights_un_sun_brc_64kb_0036	Sing saha bae teu meunang nandangan panyiksa atawa kakejeman, atawanarima hukuman anu jauh tina rasrasan atawa nampa panghina.
human_rights_un_sun_brc_64kb_0037	PASAL 6
human_rights_un_sun_brc_64kb_0038	Sing saha bae nampa pangaku nu sarua di hareupeun hukum, di mana baeayana.
human_rights_un_sun_brc_64kb_0039	PASAL 7
human_rights_un_sun_brc_64kb_0040	Sing saha bae, boga kadudukan sajajar di hareupeun hukum jeung ngabogaanhak dina narima panangtayungan hukum bari teu diwilah-wilah.
human_rights_un_sun_brc_64kb_0041	Sakumna jalmaboga hak anu sarua dina narima panangtayungan tina polah-polah anu sokngawilah-wilah anu patukang-tonggong jeung ieu pernyataan, katut tina sagalarupa hasudan anu deukeut-deukeut kana polah diskriminasi.
human_rights_un_sun_brc_64kb_0042	PASAL 8
human_rights_un_sun_brc_64kb_0043	Sing saha bae, sacara mandiri boga hak dina mulangkeun deui ngaran hade tipangadilan nasional anu boga urusan dina nguruskeun tindakan-tindakan nungarempak hak-hak fundamental anu dibikeun ka manehna ku undang-undangdasar atawa hukum.
human_rights_un_sun_brc_64kb_0044	PASAL 9
human_rights_un_sun_brc_64kb_0045	Sing saha bae teu meunang ditewak, ditahan atawa dibuang bari sawenang-wenang.
human_rights_un_sun_brc_64kb_0046	PASAL 10
